Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,60.064285,61.945713,60.000000,61.445713,56.316235,160081600
2013-04-30,62.157143,63.607143,61.724285,63.254284,57.973831,172884600
2013-05-01,63.494286,63.561428,62.055714,62.755714,57.516872,126727300
2013-05-02,63.111427,64.084282,62.947144,63.645714,58.332584,105457100
2013-05-03,64.472855,64.747147,64.164284,64.282860,58.916534,90325200
2013-05-06,65.101425,66.028572,64.901428,65.815712,60.321430,124160400
2013-05-07,66.424286,66.535713,64.814285,65.522858,60.053032,120938300
2013-05-08,65.577141,66.481430,65.115715,66.262856,60.731247,118149500
2013-05-09,65.687141,66.142860,65.082855,65.252853,60.201416,99621900
2013-05-10,65.424286,65.672859,64.354286,64.709999,59.700584,83713000
2013-05-13,64.501427,65.414284,64.500000,64.962860,59.933872,79237200
2013-05-14,64.835716,65.028572,63.164288,63.408573,58.499912,111779500
2013-05-15,62.737144,63.000000,60.337143,61.264286,56.521614,185403400
2013-05-16,60.462856,62.549999,59.842857,62.082859,57.276825,150801000
2013-05-17,62.721428,62.869999,61.572857,61.894287,57.102844,106976100
2013-05-20,61.701427,63.685715,61.442856,63.275715,58.377335,112894600
2013-05-21,62.592857,63.639999,62.028572,62.808571,57.946354,114005500
2013-05-22,63.435715,64.050003,62.602856,63.049999,58.169090,110759600
2013-05-23,62.278572,63.737144,62.255714,63.162857,58.273209,88255300
2013-05-24,62.978573,63.665714,62.908573,63.592857,58.669918,69041700
2013-05-28,64.271431,64.444283,62.978573,63.062859,58.180950,96536300
2013-05-29,62.857143,63.928570,62.771427,63.564285,58.643562,82644100
2013-05-30,63.664288,64.928574,63.501427,64.511429,59.517384,88379900
2013-05-31,64.642860,65.300003,64.214287,64.247147,59.273563,96075700
2013-06-03,64.389999,64.622856,63.211430,64.388573,59.404041,93088100
2013-06-04,64.745712,64.918571,63.912857,64.187141,59.218201,73182200
2013-06-05,63.664288,64.388573,63.387142,63.587143,58.664639,72647400
2013-06-06,63.638573,63.857143,62.007141,62.637142,57.788189,104233500
2013-06-07,62.357143,63.320000,61.824287,63.115715,58.229721,101133900
2013-06-10,63.532856,64.154289,62.400002,62.698570,57.844868,112538300
2013-06-11,62.248573,63.251427,61.902859,62.514286,57.674843,71528100
2013-06-12,62.785713,63.035713,61.642857,61.741428,56.961819,66306800
2013-06-13,61.785713,62.448570,61.250000,62.279999,57.458694,71458100
2013-06-14,62.200001,62.327145,61.214287,61.435715,56.679771,67966500
2013-06-17,61.634285,62.242859,61.480000,61.714287,56.936783,64853600
2013-06-18,61.651428,62.128571,61.458572,61.681427,56.906464,48756400
2013-06-19,61.628571,61.665714,60.428570,60.428570,55.750591,77735000
2013-06-20,59.900002,60.854286,59.310001,59.548573,54.938721,89327700
2013-06-21,59.784286,60.000000,58.299999,59.071430,54.498512,120279600
2013-06-24,58.200001,58.380001,56.864285,57.505714,53.054005,120186500
2013-06-25,57.957142,58.255714,56.975716,57.518570,53.065857,78540700
2013-06-26,57.700001,57.827145,56.522858,56.867142,52.464867,91931000
2013-06-27,57.035713,57.341427,56.220001,56.254284,51.899441,84311500
2013-06-28,55.908573,57.181427,55.552856,56.647144,52.261902,144629100
2013-07-01,57.527142,58.895714,57.317142,58.459999,53.934414,97763400
2013-07-02,58.565716,60.232857,58.495716,59.784286,55.156181,117466300
2013-07-03,60.122856,60.425713,59.635715,60.114285,55.460636,60232200
2013-07-05,60.055714,60.470001,59.335712,59.631428,55.015156,68506200
